Country,x,y
Algeria,-117, 214
Angola,3, -114
Benin,-111, 68
Botswana,49,-182
Burkina Faso,-143,88
Burundi,95,-38
Cape Verde,-300,134
Cameroon,-38,28
Central African Republic,28,44
Chad,6, 114
Comoros,197,-111
Democratic Republic of the Congo,46, -38
Djibouti,190, 86
Egypt,86, 198
Equatorial Guinea,-54, 2
Eritrea,158, 116
Ethiopia,166,52
Gabon,-46, -32
Gambia,-250, 98
Ghana,-138, 50
Guinea,-224, 72
Guinea Bissau,-238, 82
Ivory Coast,-168, 50
Kenya,154,-8
Lesotho,70, -254
Liberia,-201,38
Libya,-5, 202
Madagascar,223, -168
Malawi,125, -118
Mali,-149, 142
Mauritania,-211, 150
Mauritius,270, -179
Morocco,-174, 239
Mozambique,128, -155
Namibia,-1, -193
Niger,-58,121
Nigeria,-72,63
Congo,-10, -17
Rwanda,94, -25
Sao Tome,-76,-13
Senegal,-239, 114
Seychelles,261, -58
Sierra Leone,-215, 56
Somalia,237, 68
South Africa,21, -260
South Sudan,99, 42
Sudan,85, 132
Tanzania,147, -60
Togo,-123, 64
Tunisia,-57, 274
Uganda,113, -6
Zambia,59, -126
Zimbabwe,89, -164
